load_factor,probes
0.01000,0.00000
0.02000,0.01000
0.03000,0.01000
0.04000,0.00750
0.05000,0.01800
0.06000,0.02500
0.07000,0.03571
0.08000,0.04125
0.09000,0.04556
0.10000,0.05300
0.11000,0.05818
0.12000,0.06500
0.13000,0.06923
0.14000,0.08071
0.15000,0.08533
0.16000,0.09438
0.17000,0.10176
0.18000,0.10833
0.19000,0.11105
0.20000,0.12850
0.21000,0.13571
0.22000,0.14455
0.23000,0.15000
0.24000,0.15792
0.25000,0.16640
0.26000,0.17577
0.27000,0.18778
0.28000,0.19643
0.29000,0.20655
0.30000,0.21467
0.31000,0.22613
0.32000,0.23344
0.33000,0.24788
0.34000,0.25618
0.35000,0.27086
0.36000,0.28778
0.37000,0.30000
0.38000,0.31211
0.39000,0.31974
0.40000,0.33725
0.41000,0.34805
0.42000,0.35881
0.43000,0.36721
0.44000,0.38318
0.45000,0.39844
0.46000,0.40913
0.47000,0.42894
0.48000,0.44333
0.49000,0.46694
0.50000,0.47980
0.51000,0.50294
0.52000,0.52769
0.53000,0.54774
0.54000,0.56148
0.55000,0.59291
0.56000,0.62125
0.57000,0.65316
0.58000,0.68052
0.59000,0.70644
0.60000,0.74467
0.61000,0.77902
0.62000,0.82242
0.63000,0.85333
0.64000,0.88141
0.65000,0.91892
0.66000,0.95288
0.67000,0.98746
0.68000,1.03824
0.69000,1.08667
0.70000,1.14029
0.71000,1.19408
0.72000,1.25181
0.73000,1.31192
0.74000,1.37027
0.75000,1.43373
0.76000,1.51934
0.77000,1.60182
0.78000,1.69628
0.79000,1.80810
0.80000,1.90112
0.81000,2.02691
0.82000,2.17012
0.83000,2.26482
0.84000,2.40214
0.85000,2.50929
0.86000,2.68570
0.87000,2.85241
0.88000,3.13886
0.89000,3.36326
0.90000,3.74789
0.91000,4.20022
0.92000,4.66859
0.93000,5.06720
0.94000,5.86181
0.95000,7.11021
0.96000,9.36115
0.97000,13.78990
0.98000,21.72520
0.99000,47.14242
1.00000,90.53260
