load_factor,probes
0.01000,1.05000
0.02000,1.07500
0.03000,1.13000
0.04000,1.16500
0.05000,1.20600
0.06000,1.24500
0.07000,1.30143
0.08000,1.33875
0.09000,1.37889
0.10000,1.40800
0.11000,1.44273
0.12000,1.47250
0.13000,1.49769
0.14000,1.51929
0.15000,1.55067
0.16000,1.57375
0.17000,1.60412
0.18000,1.63944
0.19000,1.67316
0.20000,1.70900
0.21000,1.73190
0.22000,1.75864
0.23000,1.79043
0.24000,1.81458
0.25000,1.83560
0.26000,1.86077
0.27000,1.88444
0.28000,1.90750
0.29000,1.93414
0.30000,1.96100
0.31000,1.98677
0.32000,2.01719
0.33000,2.04424
0.34000,2.07765
0.35000,2.10343
0.36000,2.13250
0.37000,2.15838
0.38000,2.18763
0.39000,2.22026
0.40000,2.24175
0.41000,2.27488
0.42000,2.30548
0.43000,2.33535
0.44000,2.36727
0.45000,2.39156
0.46000,2.42652
0.47000,2.46319
0.48000,2.49604
0.49000,2.52449
0.50000,2.55880
0.51000,2.59078
0.52000,2.62577
0.53000,2.66226
0.54000,2.69889
0.55000,2.73909
0.56000,2.76304
0.57000,2.81316
0.58000,2.84845
0.59000,2.88678
0.60000,2.91783
0.61000,2.95082
0.62000,2.98935
0.63000,3.02794
0.64000,3.06000
0.65000,3.10877
0.66000,3.15000
0.67000,3.19761
0.68000,3.24544
0.69000,3.29754
0.70000,3.35500
0.71000,3.39324
0.72000,3.46125
0.73000,3.53644
0.74000,3.60419
0.75000,3.68213
0.76000,3.75618
0.77000,3.83338
0.78000,3.91256
0.79000,3.99076
0.80000,4.06725
0.81000,4.15099
0.82000,4.23683
0.83000,4.33120
0.84000,4.44690
0.85000,4.55976
0.86000,4.68895
0.87000,4.82667
0.88000,4.99602
0.89000,5.18393
0.90000,5.40311
0.91000,5.64099
0.92000,5.92707
0.93000,6.25871
0.94000,6.61394
0.95000,7.00989
0.96000,7.64125
0.97000,8.93093
0.98000,12.68898
0.99000,18.24636
1.00000,37.55070
