load_factor,probes
0.01000,1.57000
0.02000,1.91500
0.03000,2.36667
0.04000,2.89500
0.05000,3.37600
0.06000,3.88000
0.07000,4.47571
0.08000,4.97625
0.09000,5.46000
0.10000,5.98000
0.11000,6.46545
0.12000,7.01417
0.13000,7.56077
0.14000,8.03071
0.15000,8.52933
0.16000,9.03250
0.17000,9.55000
0.18000,10.05778
0.19000,10.60000
0.20000,11.06550
0.21000,11.57476
0.22000,12.03909
0.23000,12.49565
0.24000,12.99583
0.25000,13.46560
0.26000,13.94038
0.27000,14.45519
0.28000,14.95393
0.29000,15.44552
0.30000,15.92833
0.31000,16.43548
0.32000,16.93625
0.33000,17.44515
0.34000,17.94412
0.35000,18.46857
0.36000,18.96944
0.37000,19.46378
0.38000,19.98763
0.39000,20.51333
0.40000,21.00225
0.41000,21.49561
0.42000,22.00738
0.43000,22.48605
0.44000,22.98477
0.45000,23.46911
0.46000,23.98304
0.47000,24.48128
0.48000,24.99146
0.49000,25.48571
0.50000,25.98660
0.51000,26.48373
0.52000,26.99077
0.53000,27.48660
0.54000,27.97333
0.55000,28.47273
0.56000,28.96071
0.57000,29.46544
0.58000,29.96948
0.59000,30.45797
0.60000,30.95300
0.61000,31.47230
0.62000,31.97452
0.63000,32.45587
0.64000,32.95656
0.65000,33.45185
0.66000,33.95773
0.67000,34.44567
0.68000,34.94971
0.69000,35.44362
0.70000,35.96086
0.71000,36.44000
0.72000,36.94972
0.73000,37.46288
0.74000,37.97649
0.75000,38.49867
0.76000,39.00421
0.77000,39.50390
0.78000,40.01090
0.79000,40.50570
0.80000,40.99363
0.81000,41.47506
0.82000,41.97073
0.83000,42.47506
0.84000,42.97690
0.85000,43.48153
0.86000,43.98442
0.87000,44.48448
0.88000,44.99341
0.89000,45.51876
0.90000,46.04100
0.91000,46.54121
0.92000,47.08261
0.93000,47.62677
0.94000,48.21819
0.95000,48.97305
0.96000,49.85875
0.97000,51.78763
0.98000,53.98265
0.99000,61.39535
1.00000,83.95440
